Hanzi	Pinyin	Tone	Translation
是	shì	4	быть, являться
有	yǒu	3	иметь
没有	méiyǒu	23	не иметь
在	zài	4	находиться(где-то)
做	zuò	4	делать, заниматься
看	kàn	4	смотреть, читать, навещать
听	tīng	1	слушать
说	shuō	1	говорить, сказать
写	xiě	3	писать
吃	chī	1	есть, кушать
喝	hē	1	пить
买	mǎi	3	покупать
卖	mài	4	продавать
工作	gōngzuò	14	работать
学习	xuéxí	22	учиться
休息	xiūxi	10	отдыхать
去	qù	4	идти, ехать(от говорящего)
来	lái	2	приходить, приезжать(к говорящему)
回	huí	2	возвращаться
走	zǒu	3	идти пешком, уходить
想	xiǎng	3	думать, хотеть, скучать
喜欢	xǐhuan	30	нравиться, любить
知道	zhīdào	14	знать(информацию)
认识	rènshi	40	быть знакомым(с кем-то),узнавать
给	gěi	3	давать
请	qǐng	3	просить
问	wèn	4	спрашивать
懂	dǒng	3	понимать
爱	ài	4	любить, любовь
要	yào	4	хотеть, нужно
会	huì	4	уметь(в результате обучения)
能 	néng	2	мочь(быть физически способным)
可以	kěyǐ	33	мочь(можно, разрешено)
